DATE,LIQUIDATION_AMOUNT,LIQUIDATION_AMOUNT_USD,BORROWER_VOLUME,PRICE
2021-05-22 00:00:00.000,248086.116743,1745014.42664578,1347,7.393355518
2021-05-23 00:00:00.000,1935382.779245,10204158.6971563,4508,5.351692836
2021-05-24 00:00:00.000,28766.067458,140341.243605372,138,5.908957906
2021-05-25 00:00:00.000,9115.849121,53510.803779517,38,6.234085294
2021-05-26 00:00:00.000,300.16141,2119.543468181,7,7.145935209
2021-05-27 00:00:00.000,3041.186333,20703.645178653,2,6.876517704
2021-05-28 00:00:00.000,5677.119082,32726.962908414,33,6.069037091
2021-05-29 00:00:00.000,4916.548962,26004.919477369,21,5.655422353
2021-06-03 00:00:00.000,43.901404,297.901408306,1,7.195741897
2021-06-04 00:00:00.000,310782.76729,2157149.42927775,15,6.531099148
2021-06-05 00:00:00.000,553.30084,3285.262260134,5,6.399863222
2021-06-07 00:00:00.000,178.33394,1017.956929718,4,6.259919608
2021-06-08 00:00:00.000,57724.404307,296434.980526146,62,5.460006786
2021-06-11 00:00:00.000,22.163777,123.8069874,1,5.90990867
2021-06-13 00:00:00.000,0.182427,1.060259216,1,5.633216195
2021-06-14 00:00:00.000,2.12111,12.559849818,2,6.039225541
2021-04-03 00:00:00.000,342.342755,6305.229607181,9,18.525155908
2021-04-04 00:00:00.000,285.58911,5147.18752527,9,18.442217704
2021-04-05 00:00:00.000,2571.580828,45225.467614172,17,18.136802309
2021-04-06 00:00:00.000,16268.911272,270173.748275304,22,16.985167349
2021-04-07 00:00:00.000,117919.054785,1835379.95486144,185,15.739938254
2021-04-08 00:00:00.000,16.674369,256.523065347,3,15.660900522
2021-04-09 00:00:00.000,22340.255306,366397.425207168,17,16.35861664
2021-04-10 00:00:00.000,5326.182668,80517.154471349,35,15.505418109
2021-04-11 00:00:00.000,974.748961,14810.633979427,8,15.263814541
2021-04-12 00:00:00.000,183312.14593,2663672.81680368,88,14.83504227
2021-04-13 00:00:00.000,1492.008649,23384.950158944,5,15.537856021
2021-04-14 00:00:00.000,1820.77672,28047.956990946,7,15.546627366
2021-04-15 00:00:00.000,537.125313,8880.77384931,10,16.029421606
2021-04-16 00:00:00.000,2385.929828,38593.961247484,6,16.182495032
2021-04-17 00:00:00.000,1464.047826,22837.304458618,14,15.706871867
2021-04-18 00:00:00.000,609280.286251,8184089.98572014,845,13.432062911
2021-06-17 00:00:00.000,352.723542,2203.623525247,3,6.232590422
2021-06-19 00:00:00.000,11.566755,67.224809199,1,5.847905831
2021-06-20 00:00:00.000,215.252649,1183.705249111,2,5.732671156
2021-06-21 00:00:00.000,448409.015279,2252728.44711698,44,5.370477533
2021-06-22 00:00:00.000,73401.348041,347515.058213169,68,4.958481215
2021-06-25 00:00:00.000,21.535852,114.839991638,72,5.242721901
2021-06-26 00:00:00.000,3.260497,16.840331799,20,5.088891434
2021-06-28 00:00:00.000,89.606102,481.981964551,1,5.380582144
2021-07-02 00:00:00.000,0.000191,0.001078332451,1,5.695504764
2021-07-04 00:00:00.000,2.622047,15.644943436,1,5.947204743
2021-07-07 00:00:00.000,1.453894,10.733507026,1,7.173972093
2021-07-08 00:00:00.000,94.911382,631.894295062,1,6.753159066
2021-07-11 00:00:00.000,6.48381,52.609678494,1,8.375251564
2021-07-13 00:00:00.000,36171.548183,255024.182672009,1,7.575105888
2021-07-14 00:00:00.000,5080.569088,35376.944598363,12,6.9917159
2021-07-15 00:00:00.000,2406.407579,15859.503908198,3,6.818765069
2021-07-16 00:00:00.000,1457.171944,9300.753350237,13,6.712123916
2021-10-20 00:00:00.000,1.379403,55.481174248,2,39.826310735
2021-10-24 00:00:00.000,47.106662,1969.672189138,4,41.703360713
2021-10-26 00:00:00.000,1007.709424,44748.158146005,1,44.628952743
2021-10-27 00:00:00.000,507568.165861,20437003.6227373,32,41.55030939
2021-10-28 00:00:00.000,419.835664,17319.48860707,5,41.472857566
2021-10-31 00:00:00.000,45.581457,1939.208219537,1,42.4564687
2021-11-01 00:00:00.000,336.909091,14451.534752231,5,42.952583571
2021-11-02 00:00:00.000,27.789356,1248.188854955,1,44.081011215
2021-11-06 00:00:00.000,1094.784281,52467.379537146,5,49.648383731
2021-11-07 00:00:00.000,984.583001,50136.164724422,5,51.444745705
2021-11-10 00:00:00.000,62034.022087,2960934.20060796,28,50.789843
2021-11-11 00:00:00.000,2157.935465,109454.591410437,3,50.35816097
2021-11-12 00:00:00.000,1680.061574,82876.678467328,10,48.991520318
2021-11-13 00:00:00.000,43.580309,2262.972775634,1,50.305682442
2021-11-14 00:00:00.000,32.897361,1707.541414404,3,50.95298594
2021-11-15 00:00:00.000,899.111478,43987.469613884,6,50.132934019
2021-09-20 00:00:00.000,492277.58951,14527515.8237635,347,29.654845223
2021-09-21 00:00:00.000,21431.773103,547120.785399635,187,27.364718
2021-09-22 00:00:00.000,160.99511,4219.236670236,4,28.373693332
2021-09-24 00:00:00.000,1030.127124,36185.510937707,5,36.659877524
2021-09-26 00:00:00.000,2114.760311,73010.235320724,5,35.727437617
2021-09-28 00:00:00.000,2158.497091,73696.15013964,6,35.334568459
2021-10-06 00:00:00.000,1844.245087,76647.626522593,4,42.936114704
2021-10-09 00:00:00.000,242.018109,10239.844767101,1,43.510735753
2021-10-10 00:00:00.000,17189.850625,684894.591723841,21,41.734597013
2021-10-11 00:00:00.000,57323.565024,2242968.71591868,22,39.441250953
2021-10-12 00:00:00.000,378135.943632,13937749.1203383,56,37.350229581
2021-10-13 00:00:00.000,4.579347,163.434283928,4,36.732881989
2021-10-15 00:00:00.000,0.287319,10.566957318,2,37.061508742
2021-10-17 00:00:00.000,698.158762,24921.664164122,5,36.607845939
2021-10-18 00:00:00.000,1.76525,63.48247256,1,36.191399648
2021-10-19 00:00:00.000,0.536109,19.325715378,1,36.3832499
2021-05-06 00:00:00.000,1434.697805,23658.639533222,4,16.793369671
2021-05-07 00:00:00.000,118.984472,2006.707396597,8,16.694204298
2021-05-08 00:00:00.000,22.747569,385.226161703,6,16.81443254
2021-05-09 00:00:00.000,30.883239,528.091834014,22,17.003651423
2021-05-10 00:00:00.000,5753.649416,92633.917271991,61,16.936087245
2021-05-11 00:00:00.000,4817.008129,75191.530107642,80,15.995457215
2021-05-12 00:00:00.000,153820.019407,2425778.73630803,53,16.760795984
2021-05-13 00:00:00.000,203289.838302,2994536.81448043,57,15.567631472
2021-05-14 00:00:00.000,175.265281,2853.822706685,25,16.04794429
2021-05-15 00:00:00.000,1411.368699,22234.282016331,21,15.806232287
2021-05-16 00:00:00.000,1415.06203,23015.211088946,34,16.134332535
2021-05-17 00:00:00.000,8307.97027,127657.469270839,17,15.279016369
2021-05-18 00:00:00.000,566.362921,8582.754410221,13,15.332253957
2021-05-19 00:00:00.000,2762582.239464,31705711.828653,2449,12.788179523
2021-05-20 00:00:00.000,807766.937872999,7217445.09491626,1184,9.972948168
2021-05-21 00:00:00.000,1024646.838675,8425099.34275182,1515,9.642971991
2022-01-01 00:00:00.000,8.42147,755.675787238,1,88.704112121
2022-01-04 00:00:00.000,118.021139,10431.702397756,2,87.469946318
2022-01-05 00:00:00.000,184059.892552,14174232.2469894,154,83.851895485
2022-01-06 00:00:00.000,26.874104,2013.316169091,2,77.268283425
2022-01-07 00:00:00.000,58872.570202,4207620.26003134,222,71.848207555
2022-01-08 00:00:00.000,110383.29205,7181687.97686198,319,68.531048035
2022-01-10 00:00:00.000,80.726307,5636.575811698,24,70.681675287
2022-01-12 00:00:00.000,70.656476,5530.825174434,2,76.990694744
2022-01-13 00:00:00.000,0.00002,0.001581515556,2,81.095095609
2022-01-17 00:00:00.000,4858.711542,383201.881682265,2,81.810547455
2022-01-21 00:00:00.000,365124.120401,24596813.0349668,546,74.079405627
2022-01-22 00:00:00.000,390222.794215,23045841.6752637,1140,61.984479088
2022-01-24 00:00:00.000,196.854335,12036.92762474,9,64.831381076
2022-01-25 00:00:00.000,2.902961,187.530683934,4,64.553709188
2022-01-26 00:00:00.000,28369.994649,1706564.55935094,7,62.768389117
2022-01-27 00:00:00.000,186907.882315,10055435.8167742,491,57.715814491
2021-11-16 00:00:00.000,531763.564631,22918204.2227683,151,44.934703786
2021-11-17 00:00:00.000,3904.33445,162259.266001547,19,42.676980412
2021-11-18 00:00:00.000,60855.453491,2460469.11218996,83,42.229301161
2021-11-19 00:00:00.000,2.266828,93.22195228,3,41.891384959
2021-11-20 00:00:00.000,249.141358,10537.561139152,2,43.153361813
2021-11-22 00:00:00.000,2.023445,83.114455172,1,41.517717532
2021-11-23 00:00:00.000,2091.489483,85750.687807213,8,41.614686823
2021-11-24 00:00:00.000,5531.314604,212381.098581877,62,40.13726123
2021-11-26 00:00:00.000,144.420257,5893.554230628,3,41.904772455
2021-11-27 00:00:00.000,21262.069543,930590.414098224,4,42.912214104
2021-11-28 00:00:00.000,0.000084,0.003869208457,4,46.332537869
2021-11-29 00:00:00.000,113.589169,5876.81273316,3,49.988926276
2021-11-30 00:00:00.000,56.947876,3160.160623107,4,55.293158341
2021-12-01 00:00:00.000,9.874171,572.724312701,4,59.785909506
2021-12-02 00:00:00.000,1300.740679,81554.366337892,3,63.673306239
2021-12-03 00:00:00.000,4684.997785,311139.916170039,6,67.709873408
2021-12-04 00:00:00.000,898864.788639,50563294.186856,561,61.588021837
2021-07-18 00:00:00.000,0.145067,0.9739066024,3,6.659414928
2021-07-19 00:00:00.000,83047.431525,508729.666914853,17,6.204740328
2021-07-20 00:00:00.000,61542.00837,357599.581198418,55,5.819585498
2021-07-21 00:00:00.000,303.691032,1887.585243342,3,6.284800639
